Round,All India Rank,Choice No.,Institute,Course,Allotted Quota,Allotted/Candidate Category,Cand_Cat_Split,Status
1,5081,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5126,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5146,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5176,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5218,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,EWS,Retained
1,5224,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5233,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5309,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5339,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5389,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5435,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5450,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5467,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5530,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5554,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5570,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,EWS,Retained
1,5599,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5624,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5625,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5646,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5653,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5675,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5704,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5712,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5738,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5739,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5751,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5778,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5793,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5799,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5802,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5833,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5849,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,5880,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5913,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5924,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,5957,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,5991,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,6010,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6012,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6024,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6025,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6027,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,6028,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6061,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6062,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,6111,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6119,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,6132,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6142,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6147,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6148,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6157,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6160,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6209,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,6227,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6234,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6247,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,EWS,Retained
1,6261,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6279,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6306,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6328,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6329,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6347,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6360,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6393,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6406,-,"BURDWAN MEDICAL COLLEGE, BURDWAN",MBBS,State Quota,UR,General,Retained
1,6470,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6475,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,6512,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6517,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6518,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,6524,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6531,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,6594,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
1,6601,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-B (Non- Creamy Layer) OBC-B (Non- Creamy Layer),,Retained
1,6636,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6662,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
1,6674,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6677,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6711,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6722,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6736,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-A (Non- Creamy Layer),,Retained
1,6738,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6754,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6759,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6775,-,"NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Retained
1,6824,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR OBC-B (Non- Creamy Layer),,Retained
3,6829,1,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,UR,General,Upgraded
2,6831,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6833,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6841,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Not Upgraded
1,6842,-,"MEDICAL COLLEGE, KOLKATA",MBBS,State Quota,OBC-A (Non- Creamy Layer) OBC-A (Non- Creamy Layer),,Retained
2,6858,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6903,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
2,6914,-,"INSTITUTE OF PG MEDICAL EDUCATION AND RESEARCH, KOLKATA",MBBS,State Quota,UR,General,Retained
